#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
diamond_nak_hot                                   ([no block])                                                                     = Hot Eutectic NaK-Diamond Mixture
liquidhelium_nak                                  ([no block])                                                                     = Eutectic NaK-Helium Mixture
liquidhelium_nak_hot                              ([no block])                                                                     = Hot Eutectic NaK-Helium Mixture
ender_nak                                         ([no block])                                                                     = Eutectic NaK-Ender Mixture
ender_nak_hot                                     ([no block])                                                                     = Hot Eutectic NaK-Ender Mixture
cryotheum_nak                                     ([no block])                                                                     = Eutectic NaK-Cryotheum Mixture
cryotheum_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Cryotheum Mixture
iron_nak                                          ([no block])                                                                     = Eutectic NaK-Iron Mixture
iron_nak_hot                                      ([no block])                                                                     = Hot Eutectic NaK-Iron Mixture
emerald                                           ([no block])                                                                     = Molten Emerald
emerald_nak                                       ([no block])                                                                     = Eutectic NaK-Emerald Mixture
emerald_nak_hot                                   ([no block])                                                                     = Hot Eutectic NaK-Emerald Mixture
copper_nak                                        ([no block])                                                                     = Eutectic NaK-Copper Mixture
copper_nak_hot                                    ([no block])                                                                     = Hot Eutectic NaK-Copper Mixture
tin_nak                                           ([no block])                                                                     = Eutectic NaK-Tin Mixture
tin_nak_hot                                       ([no block])                                                                     = Hot Eutectic NaK-Tin Mixture
magnesium                                         (tconstruct:molten_magnesium)                                                    = Molten Magnesium
magnesium_nak                                     ([no block])                                                                     = Eutectic NaK-Magnesium Mixture
magnesium_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Magnesium Mixture
molten_reinforced_pink_slime                      ([no block])                                                                     = Molten Reinforced Pink Slime
sunnarium                                         ([no block])                                                                     = Molten Sunnarium
sky_stone                                         ([no block])                                                                     = Molten Sky Stone
fluix_steel                                       ([no block])                                                                     = Molten Fluix Steel
starmetal                                         ([no block])                                                                     = Molten Starmetal
crystal_matrix                                    ([no block])                                                                     = Amorphous Crystal Matrix
neutronium                                        ([no block])                                                                     = Hyperdense Neutron Fluid
infinity_metal                                    ([no block])                                                                     = Flow of Infinity
bound_metal                                       ([no block])                                                                     = Molten Bound Metal
sentient_metal                                    ([no block])                                                                     = Fluidic Sentience
livingrock                                        ([no block])                                                                     = Molten Livingrock
manasteel                                         ([no block])                                                                     = Molten Manasteel
terrasteel                                        ([no block])                                                                     = Molten Terrasteel
elementium                                        ([no block])                                                                     = Molten Elementium
draconium                                         ([no block])                                                                     = Molten Draconium
wyvern_metal                                      ([no block])                                                                     = Wyvern Coalescence
draconic_metal                                    ([no block])                                                                     = Draconic Coalescence
chaotic_metal                                     ([no block])                                                                     = Destructured Chaos
mica                                              ([no block])                                                                     = Molten Mica
essence_metal                                     ([no block])                                                                     = Molten Metallic Essence
pink_metal                                        ([no block])                                                                     = Molten Pink Metal
energetic_metal                                   ([no block])                                                                     = Molten Energium Metal
universal_metal                                   ([no block])                                                                     = Eutectic UU-Metal Alloy
osmium                                            ([no block])                                                                     = Molten Osmium
refined_obsidian                                  ([no block])                                                                     = Molten Refined Obsidian
refined_glowstone                                 ([no block])                                                                     = Molten Refined Glowstone
dark_matter                                       ([no block])                                                                     = Dark Liquid
red_matter                                        ([no block])                                                                     = Red Liquid
fluxed_electrum                                   ([no block])                                                                     = Molten Fluxed Electrum
gelid_enderium                                    ([no block])                                                                     = Molten Gelid Enderium
thaumium                                          ([no block])                                                                     = Molten Thaumium
void_metal                                        ([no block])                                                                     = Molten Void Metal
primal_metal                                      ([no block])                                                                     = Molten Primal Metal
murky_water                                       (mahoutsukai:murky_water)                                                        = Murky Water
exhauststeam                                      (immersivetech:exhauststeam)                                                     = Exhaust Steam
distwater                                         (immersivetech:fluiddistwater)                                                   = Distilled Water
fluegas                                           (immersivetech:fluidfluegas)                                                     = Flue Gas
highpressuresteam                                 (immersivetech:fluidhighpressuresteam)                                           = High Pressure Steam
moltensalt                                        (immersivetech:fluidmoltensalt)                                                  = Molten Salt
moltensodium                                      (immersivetech:fluidmoltensodium)                                                = Molten Sodium
superheatedmoltensodium                           (immersivetech:fluidsuperheatedmoltensodium)                                     = Superheated Molten Sodium
chlorine                                          (immersivetech:fluidchlorine)                                                    = Chlorine
creeper_acid                                      (techguns:block_creeper_acid)                                                    = Creeper Acid
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
gaia                                              ([no block])                                                                     = Molten Gaia Spirit
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
myst.ink.black                                    (mystcraft:fluidblockblackink)                                                   = Black Ink
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
mirion                                            (plustic:plustic.molten_mirion)                                                  = Molten Mirion
infinity                                          (plustic:plustic.molten_infinity)                                                = Molten Infinity
desh                                              (plustic:plustic.molten_desh)                                                    = Molten Desh
xpjuice                                           ([no block])                                                                     = Liquid XP
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Etching Acid
plastic                                           (pneumaticcraft:fluid.plastic)                                                   = Liquid Plastic
lpg                                               (pneumaticcraft:fluid.lpg)                                                       = LPG
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = Kerosene
crystal_water                                     (thaumadditions:crystal_water)                                                   = Crystal Water
pyro                                              (thaumicbases:pyro)                                                              = Pyrofluid
sulfurousacid                                     (zettaindustries:sulfurousacid)                                                  = Sulfurous Acid
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
rocketfuel                                        (advancedrocketry:rocketfuel)                                                    = Rocket Fuel
enrichedlava                                      (advancedrocketry:enrichedlavafluid)                                             = Enriched Lava
flux_goo                                          (thaumcraft:flux_goo)                                                            = Flux Goo
liquid_death                                      (thaumcraft:liquid_death)                                                        = Liquid Death
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = Purifying Fluid
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
lifeessence                                       (bloodmagic:life_essence)                                                        = Life Essence
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
fluid_quicksilver                                 (thaumicwonders:fluid_quicksilver)                                               = Quicksilver
pure_metal                                        ([no block])                                                                     = Pure Metal
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = Liquid Starlight
oilgc                                             ([no block])                                                                     = fluid.oilgc
fuelgc                                            ([no block])                                                                     = fluid.fuelgc
ec.internal.hydrogen                              ([no block])                                                                     = Hydrogen
ec.internal.oxygen                                ([no block])                                                                     = Oxygen
ec.internal.water                                 ([no block])                                                                     = Water Vapor
ec.internal.chlorine                              ([no block])                                                                     = Chlorine
ec.internal.sulfurdioxide                         ([no block])                                                                     = Sulfur Dioxide
ec.internal.sulfurtrioxide                        ([no block])                                                                     = Sulfur Trioxide
ec.internal.sulfuricacid                          ([no block])                                                                     = Sulfuric Acid
ec.internal.hydrogenchloride                      ([no block])                                                                     = Hydrogen Chloride
ec.internal.ethene                                ([no block])                                                                     = Ethylene
ec.internal.sodium                                ([no block])                                                                     = Sodium
ec.internal.brine                                 ([no block])                                                                     = Gaseous Brine
ec.internal.deuterium                             ([no block])                                                                     = Deuterium
ec.internal.tritium                               ([no block])                                                                     = Tritium
ec.internal.fusionfuel                            ([no block])                                                                     = D-T Fuel
ec.internal.lithium                               ([no block])                                                                     = Lithium
ec.internal.liquidosmium                          ([no block])                                                                     = Liquid Osmium
ec.internal.cleaniron                             ([no block])                                                                     = Clean Iron Slurry
ec.internal.iron                                  ([no block])                                                                     = Iron Slurry
ec.internal.cleangold                             ([no block])                                                                     = Clean Gold Slurry
ec.internal.gold                                  ([no block])                                                                     = Gold Slurry
ec.internal.cleanosmium                           ([no block])                                                                     = Clean Osmium Slurry
ec.internal.osmium                                ([no block])                                                                     = Osmium Slurry
ec.internal.cleancopper                           ([no block])                                                                     = Clean Copper Slurry
ec.internal.copper                                ([no block])                                                                     = Copper Slurry
ec.internal.cleantin                              ([no block])                                                                     = Clean Tin Slurry
ec.internal.tin                                   ([no block])                                                                     = Tin Slurry
ec.internal.cleansilver                           ([no block])                                                                     = Clean Silver Slurry
ec.internal.silver                                ([no block])                                                                     = Silver Slurry
ec.internal.cleanlead                             ([no block])                                                                     = Clean Lead Slurry
ec.internal.lead                                  ([no block])                                                                     = Lead Slurry
ec.internal.cleanuranium                          ([no block])                                                                     = Clean Uranium Slurry
ec.internal.uranium                               ([no block])                                                                     = Uranium Slurry
ec.internal.cleanyellorium                        ([no block])                                                                     = Clean Yellorium Slurry
ec.internal.yellorium                             ([no block])                                                                     = Yellorium Slurry
ec.internal.cleannickel                           ([no block])                                                                     = Clean Nickel Slurry
ec.internal.nickel                                ([no block])                                                                     = Nickel Slurry
ec.internal.cleanplatinum                         ([no block])                                                                     = Clean Platinum Slurry
ec.internal.platinum                              ([no block])                                                                     = Platinum Slurry
ec.internal.cleaniridium                          ([no block])                                                                     = Clean Iridium Slurry
ec.internal.iridium                               ([no block])                                                                     = Iridium Slurry
ec.internal.cleanmithril                          ([no block])                                                                     = Clean Mithril Slurry
ec.internal.mithril                               ([no block])                                                                     = Mithril Slurry
ec.internal.cleanaluminum                         ([no block])                                                                     = Clean Aluminum Slurry
ec.internal.aluminum                              ([no block])                                                                     = Aluminum Slurry
ec.internal.cleancobalt                           ([no block])                                                                     = Clean Cobalt Slurry
ec.internal.cobalt                                ([no block])                                                                     = Cobalt Slurry
ec.internal.cleanardite                           ([no block])                                                                     = Clean Ardite Slurry
ec.internal.ardite                                ([no block])                                                                     = Ardite Slurry
ec.internal.cleanastral_starmetal                 ([no block])                                                                     = Clean Starmetal Slurry
ec.internal.astral_starmetal                      ([no block])                                                                     = Starmetal Slurry
ec.internal.cleandraconium                        ([no block])                                                                     = Clean Draconium Slurry
ec.internal.draconium                             ([no block])                                                                     = Draconium Slurry
ec.internal.cleanberyllium                        ([no block])                                                                     = Clean Beryllium Slurry
ec.internal.beryllium                             ([no block])                                                                     = Beryllium Slurry
ec.internal.cleanboron                            ([no block])                                                                     = Clean Boron Slurry
ec.internal.boron                                 ([no block])                                                                     = Boron Slurry
ec.internal.cleanlithium                          ([no block])                                                                     = Clean Lithium Slurry
ec.internal.cleanmagnesium                        ([no block])                                                                     = Clean Magnesium Slurry
ec.internal.magnesium                             ([no block])                                                                     = Magnesium Slurry
ec.internal.cleanthorium                          ([no block])                                                                     = Clean Thorium Slurry
ec.internal.thorium                               ([no block])                                                                     = Thorium Slurry
ec.internal.cleanzirconium                        ([no block])                                                                     = Clean Zirconium Slurry
ec.internal.zirconium                             ([no block])                                                                     = Zirconium Slurry
ec.internal.cleantitanium                         ([no block])                                                                     = Clean Titanium Slurry
ec.internal.titanium                              ([no block])                                                                     = Titanium Slurry
ec.internal.cleandesh                             ([no block])                                                                     = Clean Desh Slurry
ec.internal.desh                                  ([no block])                                                                     = Desh Slurry
ec.internal.cleancarbon                           ([no block])                                                                     = Clean Carbon Slurry
ec.internal.carbon                                ([no block])                                                                     = Carbon Slurry
ec.internal.cleandark_iron                        ([no block])                                                                     = Clean Dark Iron Slurry
ec.internal.dark_iron                             ([no block])                                                                     = Dark Iron Slurry
ec.internal.cleantungsten                         ([no block])                                                                     = Clean Tungsten Slurry
ec.internal.tungsten                              ([no block])                                                                     = Tungsten Slurry
ec.internal.cleanzinc                             ([no block])                                                                     = Clean Zinc Slurry
ec.internal.zinc                                  ([no block])                                                                     = Zinc Slurry
ec.internal.cleanmercury                          ([no block])                                                                     = Clean Mercury Slurry
ec.internal.mercury                               ([no block])                                                                     = Mercury Slurry
ec.internal.cleanpalladium                        ([no block])                                                                     = Clean Palladium Slurry
ec.internal.palladium                             ([no block])                                                                     = Palladium Slurry
ec.internal.cleandilithium                        ([no block])                                                                     = Clean Dilithium Slurry
ec.internal.dilithium                             ([no block])                                                                     = Dilithium Slurry
ec.internal.cleanadamantine                       ([no block])                                                                     = Clean Adamantine Slurry
ec.internal.adamantine                            ([no block])                                                                     = Adamantine Slurry
ec.internal.cleanalduorite                        ([no block])                                                                     = Clean Alduorite Slurry
ec.internal.alduorite                             ([no block])                                                                     = Alduorite Slurry
ec.internal.cleanastral_silver                    ([no block])                                                                     = Clean Astral Silver Slurry
ec.internal.astral_silver                         ([no block])                                                                     = Astral Silver Slurry
ec.internal.cleanatlarus                          ([no block])                                                                     = Clean Atlarus Slurry
ec.internal.atlarus                               ([no block])                                                                     = Atlarus Slurry
ec.internal.cleancarmot                           ([no block])                                                                     = Clean Carmot Slurry
ec.internal.carmot                                ([no block])                                                                     = Carmot Slurry
ec.internal.cleanceruclase                        ([no block])                                                                     = Clean Ceruclase Slurry
ec.internal.ceruclase                             ([no block])                                                                     = Ceruclase Slurry
ec.internal.cleandeep_iron                        ([no block])                                                                     = Clean Deep Iron Slurry
ec.internal.deep_iron                             ([no block])                                                                     = Deep Iron Slurry
ec.internal.cleaneximite                          ([no block])                                                                     = Clean Eximite Slurry
ec.internal.eximite                               ([no block])                                                                     = Eximite Slurry
ec.internal.cleanignatius                         ([no block])                                                                     = Clean Ignatius Slurry
ec.internal.ignatius                              ([no block])                                                                     = Ignatius Slurry
ec.internal.cleaninfuscolium                      ([no block])                                                                     = Clean Infuscolium Slurry
ec.internal.infuscolium                           ([no block])                                                                     = Infuscolium Slurry
ec.internal.cleankalendrite                       ([no block])                                                                     = Clean Kalendrite Slurry
ec.internal.kalendrite                            ([no block])                                                                     = Kalendrite Slurry
ec.internal.cleanlemurite                         ([no block])                                                                     = Clean Lemurite Slurry
ec.internal.lemurite                              ([no block])                                                                     = Lemurite Slurry
ec.internal.cleanmanganese                        ([no block])                                                                     = Clean Manganese Slurry
ec.internal.manganese                             ([no block])                                                                     = Manganese Slurry
ec.internal.cleanmeutoite                         ([no block])                                                                     = Clean Meutoite Slurry
ec.internal.meutoite                              ([no block])                                                                     = Meutoite Slurry
ec.internal.cleanmidasium                         ([no block])                                                                     = Clean Midasium Slurry
ec.internal.midasium                              ([no block])                                                                     = Midasium Slurry
ec.internal.cleanorichalcum                       ([no block])                                                                     = Clean Orichalcum Slurry
ec.internal.orichalcum                            ([no block])                                                                     = Orichalcum Slurry
ec.internal.cleanoureclase                        ([no block])                                                                     = Clean Oureclase Slurry
ec.internal.oureclase                             ([no block])                                                                     = Oureclase Slurry
ec.internal.cleanprometheum                       ([no block])                                                                     = Clean Prometheum Slurry
ec.internal.prometheum                            ([no block])                                                                     = Prometheum Slurry
ec.internal.cleanrubracium                        ([no block])                                                                     = Clean Rubracium Slurry
ec.internal.rubracium                             ([no block])                                                                     = Rubracium Slurry
ec.internal.cleansanguinite                       ([no block])                                                                     = Clean Sanguinite Slurry
ec.internal.sanguinite                            ([no block])                                                                     = Sanguinite Slurry
ec.internal.cleanshadow_iron                      ([no block])                                                                     = Clean Shadow Iron Slurry
ec.internal.shadow_iron                           ([no block])                                                                     = Shadow Iron Slurry
ec.internal.cleanvulcanite                        ([no block])                                                                     = Clean Vulcanite Slurry
ec.internal.vulcanite                             ([no block])                                                                     = Vulcanite Slurry
ec.internal.cleanvyroxeres                        ([no block])                                                                     = Clean Vyroxeres Slurry
ec.internal.vyroxeres                             ([no block])                                                                     = Vyroxeres Slurry
ec.internal.cleantiberium                         ([no block])                                                                     = Clean Tiberium Slurry
ec.internal.tiberium                              ([no block])                                                                     = Tiberium Slurry
ec.internal.cleanaurorium                         ([no block])                                                                     = Clean Aurorium Slurry
ec.internal.aurorium                              ([no block])                                                                     = Aurorium Slurry
ec.internal.cleanduranite                         ([no block])                                                                     = Clean Duranite Slurry
ec.internal.duranite                              ([no block])                                                                     = Duranite Slurry
ec.internal.cleanvalyrium                         ([no block])                                                                     = Clean Valyrium Slurry
ec.internal.valyrium                              ([no block])                                                                     = Valyrium Slurry
ec.internal.cleanvibranium                        ([no block])                                                                     = Clean Vibranium Slurry
ec.internal.vibranium                             ([no block])                                                                     = Vibranium Slurry
ec.internal.cleankarmesine                        ([no block])                                                                     = Clean Karmesine Slurry
ec.internal.karmesine                             ([no block])                                                                     = Karmesine Slurry
ec.internal.cleanovium                            ([no block])                                                                     = Clean Ovium Slurry
ec.internal.ovium                                 ([no block])                                                                     = Ovium Slurry
ec.internal.cleanjauxum                           ([no block])                                                                     = Clean Jauxum Slurry
ec.internal.jauxum                                ([no block])                                                                     = Jauxum Slurry
ec.internal.cleanuru                              ([no block])                                                                     = Clean Uru Slurry
ec.internal.uru                                   ([no block])                                                                     = Uru Slurry
ec.internal.cleanosram                            ([no block])                                                                     = Clean Osram Slurry
ec.internal.osram                                 ([no block])                                                                     = Osram Slurry
ec.internal.cleaneezo                             ([no block])                                                                     = Clean Eezo Slurry
ec.internal.eezo                                  ([no block])                                                                     = Eezo Slurry
ec.internal.cleanabyssum                          ([no block])                                                                     = Clean Abyssum Slurry
ec.internal.abyssum                               ([no block])                                                                     = Abyssum Slurry
ec.internal.cleanvanadium                         ([no block])                                                                     = Clean Vanadium Slurry
ec.internal.vanadium                              ([no block])                                                                     = Vanadium Slurry
ec.internal.cleanbaronyte                         ([no block])                                                                     = Clean Baronyte Slurry
ec.internal.baronyte                              ([no block])                                                                     = Baronyte Slurry
ec.internal.cleanblazium                          ([no block])                                                                     = Clean Blazium Slurry
ec.internal.blazium                               ([no block])                                                                     = Blazium Slurry
ec.internal.cleanelecanium                        ([no block])                                                                     = Clean Elecanium Slurry
ec.internal.elecanium                             ([no block])                                                                     = Elecanium Slurry
ec.internal.cleanemberstone                       ([no block])                                                                     = Clean Emberstone Slurry
ec.internal.emberstone                            ([no block])                                                                     = Emberstone Slurry
ec.internal.cleanghastly                          ([no block])                                                                     = Clean Ghastly Slurry
ec.internal.ghastly                               ([no block])                                                                     = Ghastly Slurry
ec.internal.cleanghoulish                         ([no block])                                                                     = Clean Ghoulish Slurry
ec.internal.ghoulish                              ([no block])                                                                     = Ghoulish Slurry
ec.internal.cleanlimonite                         ([no block])                                                                     = Clean Limonite Slurry
ec.internal.limonite                              ([no block])                                                                     = Limonite Slurry
ec.internal.cleanlyon                             ([no block])                                                                     = Clean Lyon Slurry
ec.internal.lyon                                  ([no block])                                                                     = Lyon Slurry
ec.internal.cleanmystite                          ([no block])                                                                     = Clean Mystite Slurry
ec.internal.mystite                               ([no block])                                                                     = Mystite Slurry
ec.internal.cleanrosite                           ([no block])                                                                     = Clean Rosite Slurry
ec.internal.rosite                                ([no block])                                                                     = Rosite Slurry
ec.internal.cleanshyrestone                       ([no block])                                                                     = Clean Shyrestone Slurry
ec.internal.shyrestone                            ([no block])                                                                     = Shyrestone Slurry
ec.internal.cleanvarsium                          ([no block])                                                                     = Clean Varsium Slurry
ec.internal.varsium                               ([no block])                                                                     = Varsium Slurry
ec.internal.cleantritanium                        ([no block])                                                                     = Clean Tritanium Slurry
ec.internal.tritanium                             ([no block])                                                                     = Tritanium Slurry
ec.internal.cleanlutetium                         ([no block])                                                                     = Clean Lutetium Slurry
ec.internal.lutetium                              ([no block])                                                                     = Lutetium Slurry
